-1.6466974372023324,help
-1.553716756297536,school
-1.5392514818450707,recycl
-1.523520824408771,biden
-1.511263423692173,decemb
-1.4697239224634104,night
-1.4691968098594712,suck
-1.4623388936268114,holiday
-1.4519886988515434,2021
-1.4074720757266461,fenc
-1.3705760226326842,rv
-1.347617391168552,mateo
-1.316202545163029,altern
-1.2925243597869331,conflict
-1.2908970606426013,els
-1.2631783007890371,old
-1.2631659644385713,stori
-1.248925709681474,remov
-1.224777894216719,subscrib
-1.2215707635065336,21
